provider_record_id,provider_name,traffic_logging,connection_metadata,tracking_identifiers,third_party_sharing,long_term_retention,policy_vagueness,risk_category,monthly_google_trends_attention
vpn_policy_record_011,FastestVPN,no,yes,unclear,unclear,unclear,yes,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.5]"
vpn_policy_record_012,CyberGhost,no,no,unclear,yes,unclear,no,MEDIUM,"[17.5, 16.25, 14.5, 12.6, 22.25, 20.0, 18.25, 15.5, 18.0, 16.75, 19.25, 28.25, 29.5]"
vpn_policy_record_013,Hide.me,unclear,unclear,unclear,unclear,unclear,unclear,LOW,"[5.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.8, 6.25, 6.75, 1.0, 2.5]"
vpn_policy_record_014,Hola VPN,yes,yes,unclear,yes,yes,no,HIGH,"[0.0, 0.0, 0.0, 8.2, 5.75, 5.2, 0.0, 10.5, 0.0, 0.0, 5.0, 1.75, 4.5]"
vpn_policy_record_015,IPVanish,unclear,unclear,unclear,unclear,unclear,unclear,LOW,"[58.25, 53.75, 34.5, 38.2, 62.75, 71.2, 53.25, 62.5, 69.2, 75.0, 47.0, 50.5, 52.0]"
vpn_policy_record_016,Hotspot Shield,no,yes,yes,yes,unclear,no,MEDIUM,"[19.0, 18.5, 7.0, 8.8, 32.75, 22.6, 27.75, 28.5, 12.0, 13.75, 24.75, 22.0, 16.5]"
vpn_policy_record_017,Guardian VPN,unclear,unclear,unclear,unclear,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 2.5]"
vpn_policy_record_018,Goose VPN,no,yes,unclear,no,no,yes,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75, 0.0]"
vpn_policy_record_019,Let’s VPN,no,no,unclear,no,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_020,Keepsafe VPN,unclear,unclear,yes,unclear,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_021,Lantern,no,no,yes,yes,unclear,no,MEDIUM,"[4.0, 4.5, 4.5, 4.4, 5.25, 5.8, 6.0, 7.0, 6.2, 5.5, 5.0, 6.5, 53.0]"
vpn_policy_record_022,IVPN,no,no,yes,no,yes,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_023,Namecheap VPN,no,unclear,yes,unclear,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_024,Mullvad VPN,no,no,unclear,unclear,yes,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_025,NordLayer,yes,yes,yes,yes,unclear,no,HIGH,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_026,OVPN,no,yes,unclear,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_027,NordVPN,no,yes,yes,yes,yes,yes,HIGH,"[20.75, 20.5, 20.25, 22.0, 55.0, 49.0, 33.5, 29.25, 30.6, 28.25, 27.25, 26.25, 28.0]"
vpn_policy_record_028,Norton VPN – Fast & Secure,no,yes,unclear,yes,yes,no,HIGH,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_029,Opera Browser with VPN,no,unclear,yes,unclear,unclear,unclear,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]"
vpn_policy_record_030,Planet VPN,no,yes,unclear,yes,no,yes,MEDIUM,"[0.5, 0.25, 0.5, 0.2, 0.75, 0.4, 0.75, 0.5, 0.4, 1.0, 1.0, 1.25, 1.0]"
vpn_policy_record_031,Ostrich VPN,no,yes,yes,yes,unclear,yes,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_032,PrivadoVPN,no,yes,yes,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 1.25, 0.8, 0.75, 0.25, 0.6, 0.5, 0.75, 1.0, 1.0]"
vpn_policy_record_033,PrivateVPN,no,no,unclear,unclear,yes,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_034,PotatoVPN,no,yes,unclear,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_035,Proton VPN,unclear,unclear,unclear,unclear,unclear,no,LOW,"[9.5, 11.5, 10.75, 10.2, 45.0, 33.8, 27.5, 25.0, 24.8, 23.75, 23.0, 22.25, 25.0]"
vpn_policy_record_036,Private Internet Access,no,no,unclear,unclear,unclear,no,LOW,"[24.75, 22.25, 20.25, 13.6, 34.5, 33.6, 29.0, 25.25, 31.4, 26.0, 28.25, 25.25, 21.5]"
vpn_policy_record_037,PureVPN,no,yes,unclear,yes,unclear,no,MEDIUM,"[7.5, 0.0, 0.0, 3.6, 3.5, 12.8, 7.0, 0.0, 21.2, 19.0, 10.25, 4.75, 10.5]"
vpn_policy_record_038,Psiphon,yes,yes,yes,yes,yes,no,HIGH,"[3.5, 3.25, 3.0, 9.8, 0.0, 0.0, 0.0, 0.0, 5.2, 0.0, 41.5, 22.25, 12.5]"
vpn_policy_record_039,Secure VPN Proxy,no,yes,yes,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]"
vpn_policy_record_040,Speedify,unclear,unclear,unclear,unclear,unclear,unclear,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.75, 2.75, 34.0]"
vpn_policy_record_041,Seed4.me VPN,no,yes,unclear,unclear,no,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_042,SlickVPN,no,unclear,unclear,unclear,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_043,Steganos VPN Online Shield,unclear,unclear,unclear,unclear,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_044,Speedy Quark VPN,unclear,unclear,yes,no,unclear,yes,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
vpn_policy_record_045,StrongVPN Onion Browser VPN,no,no,unclear,yes,unclear,yes,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_046,Tor Browser (VPN not included),unclear,unclear,unclear,unclear,unclear,unclear,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_047,TorGuard,no,no,no,unclear,no,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_048,Surfshark,no,yes,yes,yes,yes,yes,HIGH,"[27.75, 27.25, 25.25, 26.8, 52.5, 56.2, 50.5, 43.5, 43.2, 39.5, 37.75, 64.5, 98.5]"
vpn_policy_record_049,Total VPN,unclear,unclear,unclear,unclear,unclear,no,LOW,"[0.0, 0.0, 0.0, 4.8, 8.0, 0.0, 0.0, 13.5, 41.6, 49.5, 36.25, 67.75, 18.0]"
vpn_policy_record_050,Touch VPN,no,yes,yes,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.75, 2.0]"
vpn_policy_record_051,TunnelBear: Secure VPN & Wifi,no,yes,unclear,yes,no,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_052,Turbo VPN,no,yes,yes,yes,unclear,no,MEDIUM,"[13.5, 14.5, 8.25, 15.6, 23.5, 13.8, 20.0, 6.5, 23.0, 21.5, 29.75, 26.5, 20.0]"
vpn_policy_record_053,Unlocator VPN,unclear,unclear,unclear,unclear,unclear,unclear,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_054,Urban VPN,unclear,unclear,unclear,unclear,unclear,no,LOW,"[42.5, 48.75, 56.25, 49.4, 67.75, 67.0, 75.5, 69.0, 77.0, 87.25, 84.75, 85.75, 60.0]"
vpn_policy_record_055,UltraVPN,no,yes,yes,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_056,VPNSecure,no,no,yes,no,no,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_057,VPN 360: Super Fast VPN Proxy,yes,yes,yes,yes,unclear,no,HIGH,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_058,VPN Private,no,yes,no,yes,no,yes,MEDIUM,"[28.75, 33.0, 17.5, 33.8, 52.5, 52.2, 39.0, 46.75, 58.6, 59.75, 68.75, 64.25, 39.0]"
vpn_policy_record_059,VPN Proxy Master – Unlimited,no,no,unclear,yes,unclear,yes,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_060,VPN Unlimited,no,yes,yes,yes,yes,no,HIGH,"[31.25, 8.0, 14.5, 18.2, 47.75, 56.2, 58.75, 30.75, 48.6, 45.5, 50.0, 45.75, 35.5]"
vpn_policy_record_061,VPN Windscribe: Fast & Secure,no,yes,no,unclear,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_062,VPN – Super Unlimited Proxy,no,no,yes,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_063,VeePN,no,unclear,yes,yes,unclear,no,MEDIUM,"[19.75, 8.25, 15.25, 11.8, 19.75, 38.4, 26.25, 35.75, 30.0, 36.5, 35.75, 23.75, 24.0]"
vpn_policy_record_064,VPNify Unlimited VPN,no,no,unclear,no,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_065,VyprVPN,no,unclear,unclear,unclear,unclear,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.5]"
vpn_policy_record_066,WireVPN – Fast VPN Proxy,no,no,unclear,no,unclear,yes,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vpn_policy_record_067,X-VPN,no,no,no,yes,yes,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 50.0]"
vpn_policy_record_068,ZoogVPN,no,no,unclear,no,no,no,LOW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.5, 0.0]"
vpn_policy_record_069,hidemy.name,no,yes,unclear,yes,unclear,no,MEDIUM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
